PostalCode,Town,Region,ShortCode,Area,Latitude,Longitude
501,Akutan,Alaska,AK,Aleutians East,54.143,-165.7854
544,Cold Bay,Alaska,AK,Aleutians East,55.1858,-162.7211
1001,False Pass,Alaska,AK,Aleutians East,54.8542,-163.4113
1002,King Cove,Alaska,AK,Aleutians East,55.0628,-162.3056
1003,Sand Point,Alaska,AK,Aleutians East,55.3192,-160.4914
1004,Adak,Alaska,AK,Aleutians West (CA),51.874,-176.634
1005,Atka,Alaska,AK,Aleutians West (CA),52.1961,-174.2006
1007,Saint George Island,Alaska,AK,Aleutians West (CA),56.5944,-169.6186
1008,Nikolski,Alaska,AK,Aleutians West (CA),52.9381,-168.8678
1009,Saint Paul Island,Alaska,AK,Aleutians West (CA),57.1842,-170.2764
1010,Unalaska,Alaska,AK,Aleutians West (CA),53.8871,-166.5199
1011,Dutch Harbor,Alaska,AK,Aleutians West (CA),53.8898,-166.5422
1012,Anchorage,Alaska,AK,Anchorage Municipality,61.2116,-149.8761
1013,Anchorage,Alaska,AK,Anchorage Municipality,61.1661,-149.96
1014,Anchorage,Alaska,AK,Anchorage Municipality,61.19,-149.8938
1020,Anchorage,Alaska,AK,Anchorage Municipality,61.2037,-149.7447
1021,Jber,Alaska,AK,Anchorage Municipality,59.8666,-158.5996
1022,Jber,Alaska,AK,Anchorage Municipality,59.8666,-158.5996
1026,Anchorage,Alaska,AK,Anchorage Municipality,61.1535,-149.8289
1027,Anchorage,Alaska,AK,Anchorage Municipality,61.206,-149.8101
1028,Anchorage,Alaska,AK,Anchorage Municipality,61.2181,-149.9003
1029,Anchorage,Alaska,AK,Anchorage Municipality,61.1446,-149.8784
1030,Anchorage,Alaska,AK,Anchorage Municipality,61.0683,-149.8005
1031,Anchorage,Alaska,AK,Anchorage Municipality,61.2149,-149.8862
1032,Anchorage,Alaska,AK,Anchorage Municipality,61.2181,-149.9003
1033,Anchorage,Alaska,AK,Anchorage Municipality,61.1194,-149.8974
1034,Anchorage,Alaska,AK,Anchorage Municipality,61.1054,-149.78
1035,Anchorage,Alaska,AK,Anchorage Municipality,61.1901,-149.9361
1036,Anchorage,Alaska,AK,Anchorage Municipality,61.1549,-149.8866
1037,Anchorage,Alaska,AK,Anchorage Municipality,61.1089,-149.4403
1038,Anchorage,Alaska,AK,Anchorage Municipality,61.2181,-149.9003
1039,Anchorage,Alaska,AK,Anchorage Municipality,61.2181,-149.9003
1040,Anchorage,Alaska,AK,Anchorage Municipality,61.2181,-149.9003
1041,Anchorage,Alaska,AK,Anchorage Municipality,61.2181,-149.9003
1050,Anchorage,Alaska,AK,Anchorage Municipality,61.2181,-149.9003
1053,Anchorage,Alaska,AK,Anchorage Municipality,61.1515,-149.9443
1054,Anchorage,Alaska,AK,Anchorage Municipality,61.1515,-149.9443
